book_id,isbn,Title,Authors,Description,Category,Publisher,Publish Date,Price
111,9787391064965,Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,"By Grollman, Earl A.","Addresses issues of death particularly affecting teenagers, such as normal reactions to the shock of death, how grief can alter relationships, how to work through grief, and more. By the author of Living When a Loved One Has Died. Simultaneous."," Young Adult Nonfiction , Social Topics , Death & Dying",Beacon Press,"Thursday, April 1, 1993",Price Starting at $8.79
112,9783352571824,Understanding Thomas Jefferson,"By Halliday, E. M.","Recent biographies of Thomas Jefferson have stressed the sphinxlike puzzles of his character—famous champion of freedom yet lifelong slaveholder, foe of miscegenation yet secret lover of a beautiful slave for 30 years, aristocrat yet fervent advocate of government by the people. E. M. Halliday's absorbing and lucid portrait recognizes these and other puzzles about this great founder, but shows us how understandable they can be in light of his personal and social circumstances. Halliday takes readers deep into Jefferson's private life—exploring his childhood, his literary taste, and his unconventional religious thinking and moral philosophy. Here, too, are his adamant opinions on women, the evolution of his ideas on democracy and freedom of expression, and fresh insights into his relationship with Sally Hemings."," Biography & Autobiography , Presidents & Heads of State",Harper Perennial,"Friday, February 1, 2002",Price Starting at $4.99
113,9784148061956,"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family","By Powter, Susan","Susan Powter answers ""What's for breakfast? What's for dinner? What's for lunch? What can I snack on?"" with 100 of the best tasting, high-volume, low-fat recipes ever!Something sweet. Something chewy. Something for those nights when you didn't get to the grocery store or it's dinnertime and you don't have a clue what to cook. These recipes have all been tested by moms and kids for the whole family. They're all low-fat, quick, easy, and taste soooooooo good. Everything you need is right here - healthy, hearty, great recipes so you'll always have an answer when the kids say, ""Hey, Mom! I'm hungry!"""," Cooking , Health & Healing , Low Fat",Atria Books,"Wednesday, January 1, 1997",Price Starting at $5.29
114,9780031102195,"Changes in the Land: Indians, Colonists and the Ecology of New England","By Cronon, William",," Science , Life Sciences , Ecology",Hill and Wang,"Friday, July 1, 1983",Price Starting at $4.99
115,9788477998600,An East Wind Coming,By Arthur Byron Cover,,,Berkley,"Thursday, November 1, 1979",Price Starting at $5.29
116,9784500364909,Going the Other Way: Lessons from a Life In and Out of Major League Baseball,"By Bean, Billy and Bull, Chris","Last spring Billy Bean, the only living openly gay former major leaguer, gained national attention with his breakthrough memoir, Going the Other Way?an unprecedented chronicle of America’s national pastime that went on to sell more than 25,000 copies. Bean brings us inside the clubhouse and onto the playing field, offering dead-on insight into the game and the physical and emotional demands it makes on players. Bean faced an agonizing choice, in secrecy and solitude, between continuing to play the game he loved and the honesty of a loving relationship. By turns heartbreaking and farcical, ruminative and uncensored, the book culminates in a respectful, deeply felt appeal to Major League Baseball and other professional team sports to live up to their promise of equality and opportunity. A testament to the power of the single voice, Going the Other Way is an exemplary American tale that points the way toward a more perfect game, one in which all men and women can pursue their athletic dreams free of prejudice and discrimination. An eight-page photo insert is featured in this New York Times bestseller."," Sports & Recreation , Baseball , Essays & Writings",Da Capo Press,"Monday, March 1, 2004",Price Starting at $4.99
117,9789648012828,Consider Your Options: Get the Most from Your Equity Compensation,"By Thomas, Kaye A.",," Business & Economics , Personal Finance , General",Fairmark Press,"Saturday, January 1, 2000",Price Starting at $5.29
118,9787804565973,Molecular Cell Biology,"By Lodish, Harvey F., Baltimore, David, and Berk, Arnold (CON)",," Science , Life Sciences , Biology",W H Freeman & Co (Sd),"Wednesday, March 1, 1995",Price Starting at $11.44
119,9783980281980,Majendie's Cat,"By Fowlkes, Frank V.","Felix Bonham-Carter, a fugitive millionaire swindler, escapes to Hong Kong--his pursuers believing him dead--but the shadowy figure, Majendie, knows who he is, and Felix becomes entangled in a plot to deflate the dollar and disrupt the world economy",,Harcourt,"Thursday, May 1, 1986",Price Starting at $5.29
120,9780890401750,First Things First,"By Covey, Stephen R., Merrill, A. Roger, and Merrill, Rebecca R.",," Psychology , General",Simon & Schuster,"Saturday, January 1, 1994",Price Starting at $5.58
